miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36553	7093.159205	N
hsa-let-7a-2	36422	7067.738477	Y
hsa-let-7a-3	36743	7130.028962	N
hsa-let-7b	112410	21813.312893	N
hsa-let-7c	11167	2166.971489	Y
hsa-let-7d	2619	508.220501	N
hsa-let-7e	4378	849.556835	N
hsa-let-7f-1	12778	2479.588223	N
hsa-let-7f-2	12836	2490.843202	N
hsa-let-7g	1960	380.340657	N
hsa-let-7i	3361	652.206606	N
hsa-mir-100	34100	6617.151229	Y
hsa-mir-101-1	29834	5789.328146	N
hsa-mir-101-2	30226	5865.396277	N
hsa-mir-103a-1	35829	6952.666023	Y
hsa-mir-103a-2	36112	7007.582557	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	37	7.179900	N
hsa-mir-105-2	33	6.403695	N
hsa-mir-106a	11	2.134565	Y
hsa-mir-106b	2736	530.924509	N
hsa-mir-107	415	80.531313	Y
hsa-mir-10a	191861	37230.887154	N
hsa-mir-10b	35112	6813.531201	N
hsa-mir-1-1	20	3.881027	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	19.017033	N
hsa-mir-1181	1	0.194051	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.746462	N
hsa-mir-1185-2	3	0.582154	N
hsa-mir-1193	1	0.194051	N
hsa-mir-1197	14	2.716719	N
hsa-mir-1199	1	0.194051	N
hsa-mir-1-2	20	3.881027	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.388103	N
hsa-mir-1224	3	0.582154	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.940514	N
hsa-mir-1227	1	0.194051	N
hsa-mir-1228	17	3.298873	N
hsa-mir-1229	11	2.134565	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.194051	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	2.328616	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	247	47.930685	N
hsa-mir-1248	7	1.358359	N
hsa-mir-1249	10	1.940514	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.582154	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.388103	N
hsa-mir-1254-2	3	0.582154	N
hsa-mir-1255a	3	0.582154	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.582154	N
hsa-mir-125a	2938	570.122883	N
hsa-mir-125b-1	1830	355.113981	N
hsa-mir-125b-2	1893	367.339216	N
hsa-mir-126	5418	1051.370245	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.194051	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.582154	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	151	29.301755	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3205	621.934595	N
hsa-mir-1269b	1260	244.504708	N
hsa-mir-127	52436	10175.276887	N
hsa-mir-1270	6	1.164308	N
hsa-mir-1271	32	6.209643	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.582154	N
hsa-mir-1278	1	0.194051	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	362	70.246591	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	245	47.542582	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.388103	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	959	186.095250	N
hsa-mir-1288	4	0.776205	N
hsa-mir-1289-1	2	0.388103	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.194051	N
hsa-mir-129-1	3	0.582154	N
hsa-mir-1292	2	0.388103	N
hsa-mir-129-2	3	0.582154	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	11	2.134565	N
hsa-mir-1295b	9	1.746462	N
hsa-mir-1296	46	8.926362	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	84	16.300314	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.194051	N
hsa-mir-1306	78	15.136006	N
hsa-mir-1307	8932	1733.266709	N
hsa-mir-130a	303	58.797561	N
hsa-mir-130b	175	33.958987	N
hsa-mir-132	263	51.035507	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	47	9.120414	Y
hsa-mir-133a-2	46	8.926362	Y
hsa-mir-133b	14	2.716719	Y
hsa-mir-134	15850	3075.713988	N
hsa-mir-1343	11	2.134565	N
hsa-mir-135a-1	1	0.194051	N
hsa-mir-135a-2	1	0.194051	N
hsa-mir-135b	437	84.800442	N
hsa-mir-136	1798	348.904338	N
hsa-mir-137	5	0.970257	N
hsa-mir-138-1	12	2.328616	N
hsa-mir-138-2	11	2.134565	N
hsa-mir-139	99	19.211084	N
hsa-mir-140	5218	1012.559974	N
hsa-mir-141	5112	991.990530	N
hsa-mir-142	12832	2490.066996	N
hsa-mir-143	320474	62188.414164	N
hsa-mir-144	177	34.347090	N
hsa-mir-145	10443	2026.478307	N
hsa-mir-1468	21	4.075078	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1033	200.455050	N
hsa-mir-146b	5676	1101.435495	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	1.940514	N
hsa-mir-148a	146565	28441.136947	N
hsa-mir-148b	912	176.974836	N
hsa-mir-149	215	41.721041	N
hsa-mir-150	4995	969.286522	N
hsa-mir-151a	13459	2611.737196	N
hsa-mir-151b	18	3.492924	N
hsa-mir-152	1596	309.705964	N
hsa-mir-153-1	3	0.582154	N
hsa-mir-153-2	111	21.539700	N
hsa-mir-1537	2	0.388103	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	257	49.871198	N
hsa-mir-155	1237	240.041527	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	505	97.995935	N
hsa-mir-15b	484	93.920856	N
hsa-mir-16-1	757	146.896876	N
hsa-mir-16-2	728	141.269387	N
hsa-mir-17	1767	342.888746	Y
hsa-mir-181a-1	15438	2995.764829	Y
hsa-mir-181a-2	21995	4268.159568	N
hsa-mir-181b-1	2752	534.029331	N
hsa-mir-181b-2	2729	529.566150	N
hsa-mir-181c	1076	208.799259	Y
hsa-mir-181d	166	32.212525	N
hsa-mir-182	169443	32880.643862	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	74489	14454.691434	N
hsa-mir-184	6	1.164308	N
hsa-mir-185	369	71.604950	N
hsa-mir-186	1181	229.174651	N
hsa-mir-187	509	98.772140	N
hsa-mir-188	18	3.492924	N
hsa-mir-18a	30	5.821541	N
hsa-mir-18b	1	0.194051	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.194051	N
hsa-mir-190a	13	2.522668	N
hsa-mir-190b	1	0.194051	N
hsa-mir-191	2001	388.296763	N
hsa-mir-1910	1	0.194051	N
hsa-mir-1911	29	5.627489	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1425	276.523182	Y
hsa-mir-193a	1473	285.837647	N
hsa-mir-193b	468	90.816034	N
hsa-mir-194-1	250	48.512839	N
hsa-mir-194-2	295	57.245150	N
hsa-mir-195	130	25.226676	N
hsa-mir-196a-1	15	2.910770	N
hsa-mir-196a-2	14	2.716719	N
hsa-mir-196b	391	75.874080	N
hsa-mir-197	2629	510.161014	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	152	29.495806	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	11920	2313.092160	Y
hsa-mir-199a-2	18564	3602.369367	Y
hsa-mir-199b	22543	4374.499711	Y
hsa-mir-19a	32	6.209643	N
hsa-mir-19b-1	160	31.048217	N
hsa-mir-19b-2	127	24.644522	N
hsa-mir-200a	5277	1024.009004	N
hsa-mir-200b	3166	614.366592	N
hsa-mir-200c	35297	6849.430702	N
hsa-mir-202	5	0.970257	N
hsa-mir-203a	14292	2773.381976	N
hsa-mir-203b	113	21.927803	N
hsa-mir-204	7	1.358359	N
hsa-mir-205	20882	4052.180410	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.582154	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	365	70.828745	N
hsa-mir-20b	46	8.926362	N
hsa-mir-21	1870798	363030.888125	N
hsa-mir-210	9604	1863.669220	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	18	3.492924	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.388103	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	7	1.358359	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	18	3.492924	N
hsa-mir-214	264	51.229558	N
hsa-mir-215	10	1.940514	Y
hsa-mir-216a	2	0.388103	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	83	16.106263	N
hsa-mir-218-1	120	23.286163	N
hsa-mir-218-2	113	21.927803	N
hsa-mir-219a-1	7	1.358359	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	3	0.582154	N
hsa-mir-22	657942	127674.537066	N
hsa-mir-221	1408	273.224309	N
hsa-mir-222	373	72.381156	N
hsa-mir-223	1614	313.198888	N
hsa-mir-224	455	88.293367	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	17	3.298873	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	868	168.436577	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	21622	4195.778413	Y
hsa-mir-23b	9425	1828.934027	Y
hsa-mir-23c	4	0.776205	N
hsa-mir-24-1	7031	1364.375082	N
hsa-mir-24-2	7149	1387.273142	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	35940	6974.205724	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	1	0.194051	N
hsa-mir-26a-1	4514	875.947820	N
hsa-mir-26a-2	4519	876.918076	N
hsa-mir-26b	2828	548.777234	N
hsa-mir-27a	10557	2048.600162	Y
hsa-mir-27b	11684	2267.296040	Y
hsa-mir-28	25378	4924.635305	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	40	7.762054	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	82	15.912211	N
hsa-mir-29a	47297	9178.046970	N
hsa-mir-29b-1	896	173.870015	Y
