id	filename	md5	size	state
00cd9f1b-3a4f-44ae-8995-1f1b7e8566e8	00cd9f1b-3a4f-44ae-8995-1f1b7e8566e8/4511fac6-ad69-4eca-997f-3b3e72af21b9.mirbase21.mirnas.quantification.txt	62139559075f719b66c3afa6537f2c92	50048	live
016fda24-9e89-4c5b-a79d-a5bdc9ed1fb6	016fda24-9e89-4c5b-a79d-a5bdc9ed1fb6/d1c7aaf0-d4d3-41d9-9c94-21f1ea0afe14.mirbase21.mirnas.quantification.txt	511de0939c1ea96f1b1dc8ddf96dc030	50307	live
031013a5-5d90-460f-aa49-36c31319a1b8	031013a5-5d90-460f-aa49-36c31319a1b8/8b152922-025b-4247-9d16-0cb8b7ffc647.mirbase21.mirnas.quantification.txt	ce02b0ed402dd3002231cfeaa08e0503	50114	live
046e0d7f-714f-4654-ad0d-9f27092b4e01	046e0d7f-714f-4654-ad0d-9f27092b4e01/44ff5683-6050-4a9c-9728-1f6b6cd46e2e.mirbase21.mirnas.quantification.txt	e86ce133fcaf2593f8f37e865d759cbc	50473	live
0497bfa6-b7ed-4e64-9313-a9cfc8280660	0497bfa6-b7ed-4e64-9313-a9cfc8280660/38b199e0-9376-443a-a95f-7b48584607ab.mirbase21.mirnas.quantification.txt	99b34e13d58716c7effa479348155f6e	50535	live
04bf3beb-8cf4-42ac-be40-fcdc50af53a0	04bf3beb-8cf4-42ac-be40-fcdc50af53a0/97a8cc7c-b601-48c9-9810-e9309cd7fd5e.mirbase21.mirnas.quantification.txt	9bb2e37c1307e5ea4b004a60fa7bec53	50375	live
050f7a00-b7c7-459d-9cb8-f6ffd5b179fe	050f7a00-b7c7-459d-9cb8-f6ffd5b179fe/205f726b-26b9-42d4-b690-c0783763a26e.mirbase21.mirnas.quantification.txt	279cef0f72cf925cdd8ee6c096a91ee9	50237	live
050fa777-df13-424f-996f-cf85e921b9c3	050fa777-df13-424f-996f-cf85e921b9c3/4096dfd2-32d5-4655-b402-6625dbad2ba9.mirbase21.mirnas.quantification.txt	4ff06ae0d22c628d109f89759d912ab0	50391	live
0555ba7a-cbe3-473a-8bca-8951c08086e2	0555ba7a-cbe3-473a-8bca-8951c08086e2/58c75574-d8f7-4ca4-9e5d-9e857778ab39.mirbase21.mirnas.quantification.txt	efd5f5e6668a2e081b285c6ad6d49551	50372	live
05ab5404-c23e-4ea1-8eca-12ab96b7f08d	05ab5404-c23e-4ea1-8eca-12ab96b7f08d/b19c16b5-655b-42db-99e4-e3adf183625d.mirbase21.mirnas.quantification.txt	9f81e9f638af6e02fdfabfa41426b889	50224	live
067201f9-2c39-4804-a185-f57ae175f65f	067201f9-2c39-4804-a185-f57ae175f65f/726dff13-f615-457a-aa90-13e8916cd6be.mirbase21.mirnas.quantification.txt	9d11f9b823753160346ba37070769fe4	50413	live
069b01a1-6b3f-4ef0-84e3-65acd514b1a9	069b01a1-6b3f-4ef0-84e3-65acd514b1a9/fa81be65-f5cb-4cb2-8666-62de13211c08.mirbase21.mirnas.quantification.txt	144034ca675f42ef7c59d0107a56f7ee	50362	live
06df3d56-a9bc-468a-a779-046e6941b118	06df3d56-a9bc-468a-a779-046e6941b118/308eb6cf-ebd9-4623-b070-353e4b188cf6.mirbase21.mirnas.quantification.txt	6efeb694d26b851c91ffcd28ef1565c3	50202	live
072155d3-0896-43db-a606-818b05de554e	072155d3-0896-43db-a606-818b05de554e/2793b396-6753-4399-93ba-e9d35173e10d.mirbase21.mirnas.quantification.txt	51734f08c83213f5071df13caef4ad9b	50348	live
0796f9ac-e8c1-46d7-8931-a81b66386887	0796f9ac-e8c1-46d7-8931-a81b66386887/a085dd5b-ebec-4af9-8dd3-2625bd49c02c.mirbase21.mirnas.quantification.txt	f4319f2ea573a8543ea33da5301ffe21	50259	live
07a39f5e-0e4f-4bde-a773-e4ac6d9fc52e	07a39f5e-0e4f-4bde-a773-e4ac6d9fc52e/ca34b3fb-1985-4d44-83a4-ae7c1bbbfc40.mirbase21.mirnas.quantification.txt	5ee1bbd2276b0d96aab89e6a142dee28	50265	live
07ee3aba-fdf5-4b5a-8bda-c69962bd01c2	07ee3aba-fdf5-4b5a-8bda-c69962bd01c2/e270f11b-fb9d-4bb3-a499-a2df178400c3.mirbase21.mirnas.quantification.txt	2801488d438b147b3fd8b786c8748057	50192	live
08edb38a-9cf5-402d-a18d-8ce7a8052e79	08edb38a-9cf5-402d-a18d-8ce7a8052e79/427cabbc-cfa4-4e8c-b927-6d87d4f91094.mirbase21.mirnas.quantification.txt	9d25c1ee5cdfe7a04dd929f756f291fd	50465	live
08f18e12-67b9-4146-9d4f-c8dfee84d98f	08f18e12-67b9-4146-9d4f-c8dfee84d98f/c754b99f-bca1-49d1-bced-9d160debffdc.mirbase21.mirnas.quantification.txt	7cf07716fc06a90b54913d2b216543fa	50282	live
0a00bf68-67d2-4904-9a6c-23dd5e5133d4	0a00bf68-67d2-4904-9a6c-23dd5e5133d4/1dc33f47-5747-4b4f-9570-9b2577583272.mirbase21.mirnas.quantification.txt	7dee6da3e0cf6860cb9d276468b05271	50171	live
0a40cbdb-f312-4eaf-8825-4e26f7fed0fe	0a40cbdb-f312-4eaf-8825-4e26f7fed0fe/e65dee7e-8311-4f76-bdc3-01379845b366.mirbase21.mirnas.quantification.txt	74c644a25c2203cec6f99517ec7b8d01	50230	live
0a45e8f6-205d-4d62-a55a-4c805368c1f5	0a45e8f6-205d-4d62-a55a-4c805368c1f5/afd66b02-984e-492c-80f2-9745f3992656.mirbase21.mirnas.quantification.txt	2f1e4f8f267a30ece0a3a386315209a3	50166	live
