miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52361	9321.264342	N
hsa-let-7a-2	52244	9300.436094	Y
hsa-let-7a-3	52568	9358.114321	N
hsa-let-7b	106753	19004.085719	N
hsa-let-7c	5229	930.862498	Y
hsa-let-7d	3617	643.895516	N
hsa-let-7e	8592	1529.541132	N
hsa-let-7f-1	19726	3511.607120	N
hsa-let-7f-2	20095	3577.296212	N
hsa-let-7g	3462	616.302537	N
hsa-let-7i	5082	904.693673	N
hsa-mir-100	47657	8483.861935	N
hsa-mir-101-1	35905	6391.780069	N
hsa-mir-101-2	36176	6440.023278	N
hsa-mir-103a-1	59504	10592.855626	Y
hsa-mir-103a-2	59505	10593.033645	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.178019	N
hsa-mir-105-2	2	0.356038	N
hsa-mir-106a	202	35.959882	Y
hsa-mir-106b	6289	1119.562870	N
hsa-mir-107	514	91.501879	Y
hsa-mir-10a	100169	17832.007179	N
hsa-mir-10b	16425	2923.965677	N
hsa-mir-1-1	14	2.492269	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	56	9.969076	N
hsa-mir-1181	6	1.068115	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.068115	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.890096	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.534058	N
hsa-mir-1227	2	0.356038	N
hsa-mir-1228	4	0.712077	N
hsa-mir-1229	6	1.068115	N
hsa-mir-1231	1	0.178019	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.178019	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.602173	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	8.544923	N
hsa-mir-1248	47	8.366903	N
hsa-mir-1249	9	1.602173	N
hsa-mir-1250	1	0.178019	N
hsa-mir-1251	1	0.178019	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.712077	N
hsa-mir-1254-2	3	0.534058	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.178019	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.178019	N
hsa-mir-125a	6310	1123.301274	N
hsa-mir-125b-1	1728	307.617211	N
hsa-mir-125b-2	1778	316.518172	N
hsa-mir-126	20884	3717.753376	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.068115	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	2.670288	N
hsa-mir-1267	1	0.178019	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10168	1810.099422	N
hsa-mir-1269b	2	0.356038	N
hsa-mir-127	4304	766.194720	N
hsa-mir-1270	1	0.178019	N
hsa-mir-1271	17	3.026327	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.178019	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.246135	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	739	131.556203	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	518	92.213956	N
hsa-mir-1283-1	2	0.356038	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.178019	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	215	38.274132	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.178019	N
hsa-mir-129-1	42	7.476807	N
hsa-mir-1292	2	0.356038	N
hsa-mir-129-2	50	8.900961	N
hsa-mir-1293	34	6.052653	N
hsa-mir-1294	1	0.178019	N
hsa-mir-1295a	16	2.848308	N
hsa-mir-1295b	123	21.896364	N
hsa-mir-1296	20	3.560384	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	63	11.215211	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.178019	N
hsa-mir-1304	5	0.890096	N
hsa-mir-1305	1	0.178019	N
hsa-mir-1306	70	12.461345	N
hsa-mir-1307	4802	854.848291	N
hsa-mir-130a	862	153.452567	N
hsa-mir-130b	297	52.871708	N
hsa-mir-132	752	133.870453	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	2.136231	Y
hsa-mir-133a-2	11	1.958211	Y
hsa-mir-133b	7	1.246135	Y
hsa-mir-134	1384	246.378600	N
hsa-mir-1343	3	0.534058	N
hsa-mir-135a-1	1	0.178019	N
hsa-mir-135a-2	2	0.356038	N
hsa-mir-135b	212	37.740074	N
hsa-mir-136	106	18.870037	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	24	4.272461	N
hsa-mir-138-2	16	2.848308	N
hsa-mir-139	176	31.331383	N
hsa-mir-140	6289	1119.562870	N
hsa-mir-141	9671	1721.623870	N
hsa-mir-142	27768	4943.237682	N
hsa-mir-143	198337	35307.797900	N
hsa-mir-144	796	141.703299	N
hsa-mir-145	5818	1035.715818	N
hsa-mir-1468	56	9.969076	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1166	207.570410	N
hsa-mir-146b	3629	646.031747	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	13	2.314250	N
hsa-mir-148a	431183	76758.861040	N
hsa-mir-148b	806	143.483491	N
hsa-mir-149	265	47.175093	N
hsa-mir-150	19220	3421.529395	N
hsa-mir-151a	8022	1428.070177	N
hsa-mir-151b	14	2.492269	N
hsa-mir-152	1528	272.013367	N
hsa-mir-153-1	1	0.178019	N
hsa-mir-153-2	38	6.764730	N
hsa-mir-1537	1	0.178019	N
hsa-mir-1538	1	0.178019	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	40	7.120769	N
hsa-mir-155	2544	452.880894	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	785	139.745087	N
hsa-mir-15b	1919	341.618882	N
hsa-mir-16-1	2165	385.411610	N
hsa-mir-16-2	2292	408.020051	N
hsa-mir-17	5717	1017.735877	Y
hsa-mir-181a-1	7599	1352.768048	N
hsa-mir-181a-2	12237	2178.421187	N
hsa-mir-181b-1	1221	217.361467	N
hsa-mir-181b-2	1182	210.418717	N
hsa-mir-181c	619	110.193897	N
hsa-mir-181d	164	29.195152	N
hsa-mir-182	101132	18003.439687	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	52596	9363.098859	N
hsa-mir-184	33	5.874634	N
hsa-mir-185	487	86.695360	N
hsa-mir-186	1130	201.161718	N
hsa-mir-187	77	13.707480	N
hsa-mir-188	18	3.204346	N
hsa-mir-18a	119	21.184287	Y
hsa-mir-18b	11	1.958211	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	8	1.424154	N
hsa-mir-190b	4	0.712077	N
hsa-mir-191	2141	381.139149	N
hsa-mir-1910	6	1.068115	N
hsa-mir-1911	20	3.560384	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2149	382.563302	Y
hsa-mir-193a	1413	251.541157	N
hsa-mir-193b	386	68.715419	N
hsa-mir-194-1	539	95.952359	N
hsa-mir-194-2	604	107.523608	N
hsa-mir-195	194	34.535729	N
hsa-mir-196a-1	131	23.320518	N
hsa-mir-196a-2	160	28.483075	N
hsa-mir-196b	1997	355.504381	N
hsa-mir-197	1848	328.979517	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	87	15.487672	N
hsa-mir-198	1	0.178019	N
hsa-mir-199a-1	8557	1523.310460	Y
hsa-mir-199a-2	13304	2368.367694	Y
hsa-mir-199b	17015	3028.997017	Y
hsa-mir-19a	93	16.555787	N
hsa-mir-19b-1	365	64.977015	N
hsa-mir-19b-2	293	52.159631	N
hsa-mir-200a	6079	1082.178834	N
hsa-mir-200b	4200	747.680721	N
hsa-mir-200c	78140	13910.421797	N
hsa-mir-202	5	0.890096	N
hsa-mir-203a	241653	43018.878404	N
hsa-mir-203b	657	116.958627	N
hsa-mir-204	31	5.518596	N
hsa-mir-205	94562	16833.853416	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	19	3.382365	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2306	410.512320	N
hsa-mir-20b	401	71.385707	N
hsa-mir-21	1680790	299212.923626	N
hsa-mir-210	956	170.186374	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	10	1.780192	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	9	1.602173	N
hsa-mir-2115	4	0.712077	N
hsa-mir-2116	6	1.068115	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	33	5.874634	N
hsa-mir-214	201	35.781863	N
hsa-mir-215	21	3.738404	Y
hsa-mir-216a	3	0.534058	N
hsa-mir-216b	1	0.178019	N
hsa-mir-217	132	23.498537	N
hsa-mir-218-1	123	21.896364	N
hsa-mir-218-2	128	22.786460	N
hsa-mir-219a-1	16	2.848308	N
hsa-mir-219a-2	1	0.178019	N
hsa-mir-219b	3	0.534058	N
hsa-mir-22	784647	139682.246375	N
hsa-mir-221	6321	1125.259485	N
hsa-mir-222	1761	313.491845	N
hsa-mir-223	2945	524.266601	N
hsa-mir-224	9089	1618.016684	N
hsa-mir-2276	1	0.178019	N
hsa-mir-2277	8	1.424154	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	293	52.159631	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	40124	7142.843156	Y
hsa-mir-23b	4734	842.742984	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	8461	1506.220615	N
hsa-mir-24-2	8650	1539.866247	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	69834	12431.794161	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	8672	1543.782670	N
hsa-mir-26a-2	8816	1569.417437	N
hsa-mir-26b	3113	554.173830	N
hsa-mir-27a	22402	3987.986551	Y
hsa-mir-27b	5471	973.943149	Y
hsa-mir-28	32221	5735.957265	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	21	3.738404	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	17	3.026327	N
hsa-mir-29a	71735	12770.208697	N
hsa-mir-29b-1	3197	569.127444	Y
hsa-mir-29b-2	3393	604.019211	Y
hsa-mir-29c	31216	5557.047950	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	40	7.120769	N
hsa-mir-301b	6	1.068115	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	3	0.534058	N
hsa-mir-3065	410	72.987880	N
hsa-mir-3074	65	11.571249	N
hsa-mir-30a	106534	18965.099510	Y
hsa-mir-30b	1710	304.412865	Y
hsa-mir-30c-1	1323	235.519427	Y
hsa-mir-30c-2	1489	265.070618	Y
hsa-mir-30d	35052	6239.929675	N
hsa-mir-30e	69407	12355.779955	Y
hsa-mir-31	24	4.272461	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.534058	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.178019	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	24	4.272461	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	3	0.534058	N
hsa-mir-3130-1	1	0.178019	N
hsa-mir-3130-2	2	0.356038	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	1	0.178019	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.356038	N
hsa-mir-3137	1	0.178019	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	3	0.534058	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.178019	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	8	1.424154	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.178019	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.178019	N
hsa-mir-3155a	1	0.178019	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	4	0.712077	N
hsa-mir-3158-1	1	0.178019	N
hsa-mir-3158-2	2	0.356038	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	1	0.178019	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.178019	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	0.534058	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	4	0.712077	N
hsa-mir-3174	1	0.178019	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	3	0.534058	N
hsa-mir-3177	1	0.178019	N
hsa-mir-3178	2	0.356038	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	1	0.178019	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	2	0.356038	N
hsa-mir-3188	3	0.534058	N
hsa-mir-3189	4	0.712077	N
hsa-mir-3190	2	0.356038	N
hsa-mir-3191	1	0.178019	N
hsa-mir-3192	1	0.178019	N
hsa-mir-3193	4	0.712077	N
hsa-mir-3194	5	0.890096	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	1	0.178019	N
hsa-mir-3199-2	14	2.492269	N
hsa-mir-32	92	16.377768	N
hsa-mir-3200	13	2.314250	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	1650	293.731712	Y
hsa-mir-320b-1	9	1.602173	Y
hsa-mir-320b-2	8	1.424154	Y
hsa-mir-320c-1	6	1.068115	N
hsa-mir-320c-2	1	0.178019	N
hsa-mir-320d-1	4	0.712077	N
hsa-mir-320d-2	1	0.178019	N
hsa-mir-320e	2	0.356038	N
hsa-mir-323a	14	2.492269	N
hsa-mir-323b	21	3.738404	N
hsa-mir-324	311	55.363977	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	37	6.586711	N
hsa-mir-328	149	26.524864	N
hsa-mir-329-1	3	0.534058	N
hsa-mir-329-2	0	0.000000	N
hsa-mir-330	332	59.102381	N
hsa-mir-331	268	47.709151	N
hsa-mir-335	1140	202.941910	N
hsa-mir-337	132	23.498537	N
hsa-mir-338	3258	579.986617	N
hsa-mir-339	336	59.814458	N
hsa-mir-33a	101	17.979941	N
hsa-mir-33b	11	1.958211	N
hsa-mir-340	127	22.608441	N
hsa-mir-342	1450	258.127868	N
hsa-mir-345	159	28.305056	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	823	146.509817	N
hsa-mir-34b	79	14.063518	N
hsa-mir-34c	642	114.288339	N
hsa-mir-3529	0	0.000000	N
